Indent Level,Faculty Name,Parent,Number of Publications
0,NaN,NaN,NaN
1,C. Lee Giles,Data Sciences and Artificial Intelligence,773
1,John Yen,Data Sciences and Artificial Intelligence,430
1,Qingyun Wu,Data Sciences and Artificial Intelligence,31
1,Justin Silverman,Data Sciences and Artificial Intelligence,38
1,Sarah Rajtmajer,Data Sciences and Artificial Intelligence,84
1,Saeed Abdullah,Human-Computer Interaction,75
1,Syed Billah,Human-Computer Interaction,31
1,Frank Ritter,Human-Computer Interaction,392
1,Ting-Hao (Kenneth),Human-Computer Interaction,71
1,Yubo Kou,Human-Computer Interaction,65
1,Taegyu Kim,Privacy and Security ,16
1,Edward J. Glantz,Privacy and Security ,31
1,Dinghao Wu,Privacy and Security ,133
1,Dongwon Lee,Privacy and Security ,329
1,Jinghui Chen,Privacy and Security ,34
1,Fred Fonseca,Social and Organizational Informatics,122
1,Kelley Cotter,Social and Organizational Informatics,22
1,Lynette Yarger,Social and Organizational Informatics,119
1,Urja Vora,Social and Organizational Informatics,22
1,Andrea Tapia,Social and Organizational Informatics,179
